Number,Country,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Recovered,Active_Cases,Critical_Cases,Total_Cases(1mil pop),Total_Deaths(1mil pop),Total_Tests,Total_Tests(1mil pop),Population(pop)
1,USA,106613321,"+1,809",1159697,35.0,104533271,920353,"1,392","318,434","3,464","1,176,758,558","3,514,755","334,805,269"
2,India,44924811,,531424,,44335977,57410,,"31,938",378,"925,077,322","657,654","1,406,631,776"
3,France,39974426,"+6,609",166425,,39669392,138609,869,"609,510","2,538","271,490,188","4,139,547","65,584,518"
4,Germany,38400766,,172882,,38189800,38084,,"457,786","2,061","122,332,384","1,458,359","83,883,596"
5,Brazil,37449418,,701494,,36249161,498763,,"173,897","3,257","63,776,166","296,146","215,353,593"
6,Japan,33689542,"+11,764",74467,24.0,21725273,11889802,48,"268,261",593,"99,912,333","795,576","125,584,838"
7,S. Korea,31129070,"+14,284",34460,11.0,30879606,215004,153,"606,451",671,"15,804,065","307,892","51,329,899"
8,Italy,25765219,,189582,,25439463,136174,104,"427,548","3,146","271,116,017","4,498,897","60,262,770"
9,UK,24555629,,221943,,24305452,28234,,"358,487","3,240","522,526,476","7,628,357","68,497,907"
10,Russia,22833330,"+6,503",398208,33.0,22229208,205914,,"156,601","2,731","273,400,000","1,875,095","145,805,947"
12,Spain,13825052,,120715,,13665628,38709,231,"295,918","2,584","471,036,328","10,082,298","46,719,142"
13,Vietnam,11554875,"+2,958",43188,,10619813,891874,85,"116,771",436,"85,826,548","867,342","98,953,541"
14,Australia,11411267,,20154,,11342700,48413,61,"437,737",773,"78,835,048","3,024,116","26,068,792"
17,Netherlands,8610372,,22992,,8585514,1866,53,"500,270","1,336","25,984,435","1,509,718","17,211,447"
18,Iran,7606689,,146005,,7342490,118194,407,"88,426","1,697","55,353,767","643,478","86,022,837"
19,Mexico,7579201,,333802,,6825496,419903,,"57,609","2,537","19,903,879","151,288","131,562,772"
20,Indonesia,6769005,"+1,879",161221,17.0,6596655,11129,,"24,250",578,"114,158,919","408,975","279,134,505"
21,Poland,6513264,+342,119546,6.0,5335940,1057778,696,"172,583","3,168","38,655,786","1,024,271","37,739,785"
22,Colombia,6364014,,142706,,6186783,34525,342,"123,542","2,770","36,951,507","717,327","51,512,762"
23,Austria,6063303,+650,22355,,6029345,11603,55,"668,743","2,466","211,273,524","23,302,116","9,066,710"
24,Greece,5999934,,36711,,5945095,18128,115,"581,578","3,558","102,228,365","9,909,078","10,316,637"
25,Portugal,5580792,,26550,,5548480,5762,61,"550,343","2,618","46,082,209","4,544,341","10,140,570"
26,Ukraine,5502019,,111912,,5373024,17083,,"127,385","2,591","32,603,805","754,855","43,192,122"
27,Chile,5283280,+392,64497,,5217926,857,57,"274,453","3,350","49,362,969","2,564,284","19,250,195"
28,Malaysia,5066877,,37011,,5015705,14161,14,"152,704","1,115","68,344,917","2,059,756","33,181,072"
29,Israel,4821234,+271,12484,7.0,4798473,10277,21,"516,967","1,339","41,373,364","4,436,346","9,326,000"
30,Belgium,4790564,,34188,,4738746,17630,43,"410,563","2,930","36,997,339","3,170,763","11,668,278"
32,Thailand,4730490,,33947,,4692636,3907,,"67,503",484,"17,270,775","246,450","70,078,203"
33,Canada,4641301,,52247,,4575934,13120,99,"120,904","1,361","66,343,123","1,728,207","38,388,419"
34,Czechia,4640019,+140,42760,1.0,4593938,3321,13,"432,161","3,983","57,173,927","5,325,051","10,736,784"
35,Peru,4500578,,220104,,4276792,3682,27,"133,611","6,534","38,521,551","1,143,609","33,684,208"
36,Switzerland,4401379,,14452,,4383180,3747,39,"501,660","1,647","23,833,472","2,716,487","8,773,637"
37,Philippines,4090996,+781,66444,,4019592,4960,162,"36,362",591,"34,996,447","311,055","112,508,994"
38,South Africa,4076463,,102595,,3912506,61362,192,"67,095","1,689","26,795,090","441,027","60,756,135"
39,Romania,3387788,,68047,,3312844,6897,120,"178,011","3,576","27,242,332","1,431,446","19,031,335"
40,Denmark,3180390,+64,8537,7.0,3170851,1002,19,"545,059","1,463","129,264,242","22,153,445","5,834,950"
41,Hong Kong,2889671,+389,13522,3.0,2870850,5299,28,"380,005","1,778","76,127,725","10,011,143","7,604,299"
42,Sweden,2706137,,24087,,2678039,4011,8,"264,815","2,357","19,500,873","1,908,301","10,218,971"
43,Serbia,2533669,+458,18018,1.0,2505908,9743,12,"292,808","2,082","12,777,907","1,476,700","8,653,016"
44,Iraq,2465545,,25375,,2439497,673,21,"58,474",602,"19,544,451","463,523","42,164,965"
45,Singapore,2340779,,1727,,2149583,189469,2,"393,835",291,"24,756,666","4,165,302","5,943,546"
46,New Zealand,2313064,,4119,,2297967,10978,,"472,227",841,"7,768,604","1,586,011","4,898,203"
47,Hungary,2201355,,48846,,2148647,3862,13,"229,158","5,085","11,394,556","1,186,160","9,606,259"
48,Bangladesh,2038174,,29446,,1998448,10280,,"12,140",175,"15,254,399","90,862","167,885,689"
49,Slovakia,1866312,,21167,,1844727,418,22,"341,803","3,877","7,425,402","1,359,916","5,460,193"
50,Georgia,1838936,,17049,,1776548,45339,,"463,355","4,296","16,920,079","4,263,340","3,968,738"
51,Jordan,1746997,,14122,,1731007,1868,59,"169,597","1,371","17,201,885","1,669,945","10,300,869"
52,Ireland,1709705,,8824,,1698456,2425,19,"340,565","1,758","13,083,449","2,606,161","5,020,199"
53,Pakistan,1580624,+21,30656,,1538689,11279,10,"6,888",134,"30,571,377","133,215","229,488,994"
54,Norway,1482988,,5213,,1476547,1228,20,"269,078",946,"11,002,430","1,996,315","5,511,370"
55,Finland,1473603,,9308,,1458560,5735,21,"265,277","1,676","12,069,254","2,172,699","5,554,960"
56,Kazakhstan,1411436,+66,13848,,1383020,14568,24,"73,493",721,"11,575,012","602,707","19,205,043"
57,Slovenia,1343174,+47,7100,,1328006,8068,8,"646,368","3,417","2,847,701","1,370,382","2,078,034"
58,Lithuania,1318293,+107,9664,1.0,1306194,2435,3,"495,281","3,631","10,435,867","3,920,741","2,661,708"
59,Bulgaria,1303983,,38325,,1262533,3125,40,"190,513","5,599","11,175,468","1,632,743","6,844,597"
60,Morocco,1273130,,16297,,1256151,682,3,"33,705",431,"13,001,033","344,191","37,772,756"
61,Croatia,1272377,,18155,,1253558,664,4,"313,448","4,472","5,575,343","1,373,479","4,059,286"
62,Guatemala,1247933,,20189,,1226715,1029,5,"67,151","1,086","7,202,934","387,587","18,584,039"
63,Lebanon,1236522,+169,10899,2.0,1087587,138036,74,"184,974","1,630","4,795,578","717,380","6,684,849"
64,Costa Rica,1227546,,9339,,860711,357496,52,"236,870","1,802","4,659,757","899,158","5,182,354"
65,Bolivia,1197022,,22377,,1166014,8631,220,"99,813","1,866","2,705,422","225,590","11,992,656"
67,Cuba,1113217,+80,8530,,1104552,135,2,"98,466",754,"14,345,279","1,268,859","11,305,652"
68,UAE,1061854,,2349,,1044594,14911,,"105,324",233,"200,257,314","19,863,280","10,081,785"
69,Ecuador,1061100,,36019,,1023510,1571,759,"58,581","1,989","3,082,403","170,173","18,113,361"
70,Uruguay,1037893,,7625,,1029835,433,18,"296,879","2,181","6,114,822","1,749,083","3,496,016"
71,Panama,1036100,,8618,,1026868,614,16,"232,990","1,938","7,636,393","1,717,215","4,446,964"
72,Mongolia,1007993,,2179,,1005764,50,192,"298,392",645,"4,030,048","1,193,000","3,378,078"
73,Nepal,1002869,+78,12029,1.0,990462,378,,"33,179",398,"6,033,879","199,628","30,225,582"
74,Belarus,994037,,7118,,985592,1327,,"105,381",755,"13,646,641","1,446,722","9,432,800"
75,Latvia,977593,+34,6318,,970902,373,13,"528,761","3,417","7,873,232","4,258,478","1,848,837"
76,Saudi Arabia,839965,+261,9642,,826721,3602,75,"23,433",269,"45,429,581","1,267,393","35,844,909"
77,Azerbaijan,831199,,10233,,820762,204,,"80,697",993,"7,585,820","736,473","10,300,205"
79,Bahrain,719736,+142,1562,2.0,717743,431,1,"403,443",876,"10,827,533","6,069,303","1,783,983"
80,Sri Lanka,672150,+7,16841,,655290,19,,"31,153",781,"6,486,117","300,619","21,575,842"
81,Kuwait,665741,,2570,,660237,2934,,"151,984",587,"8,455,743","1,930,391","4,380,326"
82,Dominican Republic,661008,,4384,,644785,11839,4,"59,785",397,"3,740,928","338,350","11,056,370"
83,Cyprus,656904,,1350,,654314,1240,60,"536,955","1,103","9,640,118","7,879,860","1,223,387"
84,Myanmar,634599,+60,19490,,614752,357,,"11,491",353,"10,331,702","187,077","55,227,143"
85,Palestine,621008,,5404,,615445,159,17,"116,173","1,011","3,078,533","575,907","5,345,541"
